日期,AQI,质量等级,PM2.5含量（ppm）,PM10含量（ppm）,SO2含量（ppm）,CO含量（ppm）,NO2含量（ppm）,O3_8h含量（ppm）
2020/6/21,41,优,5,10,5,0.6,20,82
2020/6/22,34,优,8,10,5,0.6,20,67
2020/6/23,35,优,9,16,5,0.9,28,40
2020/6/24,48,优,18,34,8,0.9,34,96
2020/6/25,71,良,26,41,8,1.0,28,125
2020/6/26,45,优,13,28,6,0.6,18,89
2020/6/27,35,优,12,21,5,0.7,28,63
2020/6/28,47,优,11,18,5,0.7,14,93
2020/6/29,41,优,8,18,6,0.7,19,81
2020/6/30,83,良,16,28,6,0.7,26,139
2020/7/1,126,轻度污染,33,55,6,0.7,18,188
2020/7/2,47,优,18,35,6,0.6,18,94
2020/7/3,46,优,10,21,5,0.6,19,91
2020/7/4,60,良,20,34,6,0.7,18,112
2020/7/5,35,优,11,21,6,0.7,28,45
2020/7/6,35,优,8,13,5,0.7,28,46
2020/7/7,55,良,14,25,9,1.1,36,105
2020/7/8,80,良,29,43,8,1.3,26,136
2020/7/9,50,优,22,39,5,0.8,17,99
2020/7/10,70,良,19,31,5,0.6,12,124
2020/7/11,30,优,13,23,5,0.7,17,59
2020/7/12,42,优,15,41,9,0.8,33,64
2020/7/13,29,优,11,15,5,0.6,23,58
2020/7/14,46,优,14,25,6,0.7,21,91
2020/7/15,46,优,7,13,5,0.7,21,91
2020/7/16,39,优,7,12,5,0.6,21,78
2020/7/17,32,优,15,24,6,0.6,22,63
2020/7/18,49,优,18,32,6,0.8,39,20
2020/7/19,37,优,13,19,6,1.0,29,67
2020/7/20,49,优,21,30,7,0.7,25,98
2020/7/21,48,优,20,32,6,0.7,26,96
2020/7/22,55,良,14,37,6,0.6,21,105
2020/7/23,38,优,10,27,7,0.6,22,76
2020/7/24,44,优,12,19,5,0.7,35,75
2020/7/25,58,良,13,31,7,0.7,39,109
2020/7/26,70,良,26,44,7,0.7,26,124
2020/7/27,53,良,22,39,7,1.1,42,44
2020/7/28,33,优,11,23,6,0.7,26,64
2020/7/29,56,良,28,48,6,0.9,24,107
2020/7/30,81,良,24,45,7,0.9,25,137
2020/7/31,50,优,9,33,7,0.5,24,99
2020/8/1,99,良,15,33,8,0.6,23,158
2020/8/2,65,良,25,47,7,0.9,40,117
2020/8/3,55,良,18,38,6,0.7,23,106
2020/8/4,48,优,9,30,6,0.6,20,95
2020/8/5,60,良,23,51,7,1.0,41,111
2020/8/6,36,优,8,27,6,0.7,20,72
2020/8/7,36,优,10,27,6,0.6,19,71
2020/8/8,37,优,16,36,7,0.6,24,73
2020/8/9,35,优,18,33,7,0.8,28,66
2020/8/10,30,优,11,20,7,0.8,24,53
2020/8/11,44,优,15,27,6,0.7,20,88
2020/8/12,27,优,8,23,6,0.6,16,53
2020/8/13,40,优,11,26,7,0.7,24,80
2020/8/14,46,优,10,28,7,0.6,21,91
2020/8/15,75,良,15,34,7,0.6,28,129
2020/8/16,96,良,19,43,8,0.8,29,155
2020/8/17,91,良,21,45,8,0.7,23,149
2020/8/18,77,良,30,55,8,0.5,18,132
2020/8/19,77,良,26,49,8,0.6,25,132
2020/8/20,130,轻度污染,21,41,8,0.8,30,193
2020/8/21,88,良,27,45,8,0.9,28,145
2020/8/22,87,良,31,53,7,0.8,22,144
2020/8/23,112,轻度污染,35,59,8,0.6,17,173
2020/8/24,91,良,33,58,10,0.8,28,149
2020/8/25,64,良,24,43,9,0.6,26,116
2020/8/26,72,良,26,41,8,0.7,20,126
2020/8/27,75,良,15,29,8,0.6,21,129
2020/8/28,54,良,26,53,12,0.9,39,104
2020/8/29,82,良,28,53,11,1.0,35,138
2020/8/30,100,良,24,40,9,0.8,32,160
2020/8/31,55,良,23,43,10,0.9,44,87
2020/9/1,49,优,20,37,10,0.9,39,78
2020/9/2,50,优,21,35,8,0.7,26,99
2020/9/3,89,良,24,49,11,0.7,45,146
2020/9/4,85,良,24,56,8,0.7,42,141
2020/9/5,104,轻度污染,31,62,14,0.8,42,164
2020/9/6,116,轻度污染,26,54,10,0.6,38,177
2020/9/7,114,轻度污染,34,65,11,0.8,58,175
2020/9/8,101,轻度污染,38,81,12,0.9,58,161
2020/9/9,86,良,46,82,13,0.9,65,143
2020/9/10,69,良,50,73,10,1.0,52,84
2020/9/11,75,良,24,43,8,0.9,31,130
2020/9/12,72,良,26,46,12,0.9,41,126
2020/9/13,67,良,29,48,9,0.8,30,120
2020/9/14,89,良,33,53,9,0.8,29,146
2020/9/15,38,优,16,24,7,0.8,30,64
2020/9/16,52,良,19,27,8,0.8,36,102
2020/9/17,49,优,15,22,7,0.7,28,98
2020/9/18,43,优,14,20,7,0.5,20,86
2020/9/19,70,良,21,36,9,0.7,27,124
2020/9/20,90,良,26,44,9,0.7,28,148
2020/9/21,50,优,19,37,9,0.6,29,100
2020/9/22,55,良,31,36,8,0.7,29,105
2020/9/23,46,优,17,33,7,0.7,33,92
2020/9/24,60,良,27,51,10,0.7,48,106
2020/9/25,62,良,21,47,9,0.7,43,114
2020/9/26,74,良,29,53,9,0.7,37,128
2020/9/27,60,良,18,41,9,0.6,25,112
