weight,age,height,size
52,31,157.48,S
73,34,177.8,XL
61,30,160.02,M
59,36,162.56,M
65,53,162.56,XL
53,32,165.1,S
50,28,,S
53,43,167.64,M
54,27,165.1,M
54,27,157.48,M
71,26,172.72,L
76,37,170.18,XL
61,31,157.48,L
71,26,175.26,L
54,27,167.48,S
,27,170.18,M
61,30,172.72,M
65,31,175.26,M
,28,170.18,M
68,35,167.64,XL
54,,165.1,S
58,45,172.72,M
68,30,167.64,XL
58,31,162.56,M
49,39,157.48,S
61,12,167.64,M
77,31,172.72,XL
80,36,175.26,XL
67,37,160.02,L
68,35,170.18,XL
66,49,162.56,L
67,33,162.56,L
70,34,175.26,L
54,51,167.64,S
52,22,154.94,S
76,49,180.34,XL
70,34,160.02,XL
56,39,167.64,M
80,40,175.26,XL
68,29,160.02,XL
56,42,165.1,M
67,37,164.94,XL
54,34,165.1,S
61,33,177.8,M
58,35,162.56,M
52,30,165.1,S
61,26,170.18,M
67,51,167.64,L
54,,165.1,S
71,28,165.1,L
63,29,170.18,M
67,34,162.56,L
65,37,160.02,L
52,47,160.02,M
58,53,160.02,M
65,29,162.56,XL
68,25,167.64,XL
58,27,162.56,M
54,25,152.4,M
58,38,172.72,M
69,29,162.56,L
73,29,170.18,XL
68,41,172.72,L
58,43,162.56,M
73,40,177.8,XL
72,32,175.26,XL
52,34,167.64,S
58,40,170.18,M
61,32,172.72,M
63,38,172.72,M
68,28,167.64,XL
56,34,160.02,M
53,38,160.02,S
72,32,162.56,XL
63,30,172.72,M
73,25,162.4,XL
54,43,160.02,S
61,,177.8,M
54,36,157.48,M
57,44,157.48,M
56,48,165.1,M
52,28,162.56,S
52,29,154.94,S
52,35,160.02,S
58,32,175.26,M
55,34,154.94,M
63,27,170.18,M
58,27,157.48,M
70,31,167.64,XL
52,16,157.48,S
58,29,160.02,M
68,31,167.64,XL
53,30,160.02,S
64,53,170.18,L
61,26,160.02,M
69,34,170.18,L
68,54,167.64,L
54,35,157.48,M
61,29,165.1,M
67,27,162.56,L
76,36,172.72,L
71,39,167.64,L
71,24,167.64,L
56,43,172.72,M
67,34,162.56,L
69,23,172.72,XL
67,39,170.18,L
28,39,157.48,M
54,,165.1,S
69,35,167.64,L
68,29,160.02,XL
58,34,165.1,M
70,42,160.02,XL
75,33,167.64,XL
58,28,152.4,L
71,24,170.18,L
,50,162.56,XL
,48,162.56,M
71,29,172.72,L
56,62,162.56,M
50,29,152.4,S
69,49,170.18,L
63,35,177.8,M
53,32,154.94,M
74,29,172.72,L
71,40,170.18,L
56,36,167.64,M
53,33,164.94,S
58,28,157.48,M
54,31,165.1,S
70,38,172.72,XL
65,34,170.18,M
68,39,167.64,XL
68,34,167.64,XL
76,28,177.8,L
75,25,167.64,XL
50,43,152.4,M
61,49,157.48,L
53,29,167.64,S
43,44,157.48,S
58,32,162.56,M
54,27,172.72,S
52,28,154.94,M
61,29,162.56,M
64,42,170.18,L
56,31,152.4,L
54,27,165.1,M
61,25,162.56,M
68,33,167.64,L
68,37,167.64,XL
67,41,160.02,L
56,33,165.1,M
61,29,165.1,M
71,37,172.72,L
69,34,175.26,L
58,40,162.56,M
64,27,165.1,M
71,19,167.64,L
49,31,162.56,S
70,31,167.64,XL
72,27,167.64,XL
56,30,160.02,M
58,26,162.56,M
72,31,167.64,XL
68,30,167.64,XL
71,28,172.72,XL
63,38,160.02,XL
56,26,162.56,M
63,24,170.18,M
52,50,162.56,S
75,31,167.64,XL
58,31,172.72,M
75,29,172.72,XL
58,36,162.56,M
52,24,160.02,S
57,24,152.4,L
52,28,162.56,S
62,30,167.64,M
74,31,162.56,XL
69,37,167.64,L
52,24,170.26,S
65,30,167.64,M
57,20,170.18,M
58,31,170.18,M
61,32,170.18,M
67,36,175.26,L
52,42,162.56,S
58,33,165.1,M
69,51,162.56,L
52,26,157.48,M
71,29,167.64,L
61,34,165.1,M
52,55,157.48,M
78,37,175.26,XL
52,27,162.56,S
68,33,160.02,XL
56,47,160.02,M
71,29,172.72,L
64,17,162.56,XL
63,39,157.48,L
73,28,172.72,XL
49,44,154.94,S
71,35,170.18,XL
57,35,162.56,M
56,20,167.64,M
56,26,167.64,M
54,28,167.64,M
64,27,165.1,M
68,37,165.1,XL
69,27,172.72,L
61,45,172.72,M
49,26,162.56,S
58,32,165.1,M
54,28,170.18,M
54,47,165.1,M
62,33,170.18,M
54,49,154.94,M
55,33,162.56,M
58,28,167.64,M
48,26,154.94,S
52,29,157.48,S
54,27,165.1,S
54,35,167.48,S
69,37,165.1,L
56,45,160.02,M
76,38,172.72,XL
69,50,177.8,L
71,39,175.26,XL
61,29,172.72,L
54,34,167.64,S
52,31,162.56,S
70,33,170.18,L
58,32,160.02,M
65,29,162.56,L
48,34,160.02,S
54,22,162.56,S
53,40,162.56,M
53,30,167.64,S
53,30,170.18,S
61,26,162.56,M
52,40,157.48,S
49,37,167.64,S
54,44,165.1,M
53,38,157.48,S
61,20,165.1,M
47,36,160.02,S
61,41,167.64,M
76,37,172.72,L
52,23,167.72,S
65,35,160.02,XL
68,26,162.56,L
61,31,157.48,L
61,26,157.48,L
56,50,157.48,M
70,28,162.56,L
63,37,160.02,XL
53,35,160.02,S
69,31,172.72,L
54,23,154.94,M
53,39,162.56,S
54,35,157.48,M
49,43,172.72,S
55,29,157.48,M
58,49,167.64,M
69,46,170.18,L
52,31,162.56,M
70,24,165.1,XL
73,37,167.48,XL
52,35,167.64,S
58,35,165.1,M
52,31,157.48,S
69,30,164.94,XL
55,27,170.18,M
60,31,172.72,L
60,28,170.18,M
49,37,170.18,S
67,40,167.64,L
61,29,165.1,M
61,31,157.48,L
71,30,170.18,L
51,29,162.56,S
58,33,152.4,L
54,29,154.94,M
52,29,162.56,S
49,26,170.18,S
52,31,162.56,S
56,37,170.18,M
76,29,175.26,XL
54,29,160.02,S
82,45,164.94,XL
72,39,172.72,XL
64,33,167.64,L
64,37,167.64,L
61,27,177.8,M
61,28,170.18,M
53,36,165.1,S
56,35,165.1,M
57,29,162.56,M
72,34,175.26,L
51,38,157.48,S
76,28,175.26,XL
75,33,170.18,XL
68,36,162.56,XL
73,26,170.18,XL
63,29,167.64,M
61,35,157.48,L
58,45,167.64,M
65,33,160.02,L
76,21,175.26,L
69,27,162.56,L
70,27,167.64,XL
69,32,170.18,XL
56,31,160.02,M
26,28,157.48,M
64,58,165.1,M
48,35,157.48,S
54,26,160.02,S
54,36,167.64,S
57,26,167.64,M
53,32,170.26,S
62,32,167.64,M
61,29,162.56,M
71,30,170.18,L
54,30,167.48,S
64,28,172.72,M
57,31,172.72,M
74,32,167.64,XL
54,35,157.48,M
71,32,167.64,XL
61,28,162.56,M
58,30,165.1,M
54,32,167.8,S
49,38,160.02,S
58,27,162.56,M
48,46,160.02,S
82,22,177.8,XL
67,38,172.72,L
63,32,172.72,M
70,39,165.1,XL
58,38,170.18,M
56,57,170.18,M
56,36,170.18,M
54,25,165.1,S
67,37,170.18,L
49,22,152.4,S
54,45,162.56,M
53,19,160.02,S
71,34,165.1,L
69,40,162.56,L
67,30,162.56,L
56,31,157.48,M
58,30,157.48,M
54,42,170.18,M
58,27,160.02,M
69,30,177.8,XL
72,24,172.72,L
73,30,175.26,XL
53,30,160.02,S
54,25,165.1,M
73,28,167.48,XL
45,30,162.56,S
56,35,162.56,M
75,42,167.64,XL
49,31,157.48,S
58,36,162.56,M
57,40,160.02,M
65,24,170.18,M
64,31,167.64,L
69,43,167.48,XL
48,40,157.48,S
63,28,172.72,M
70,29,167.64,XL
54,47,162.56,M
54,31,164.94,S
68,34,170.18,L
58,28,170.18,M
54,29,164.94,S
63,27,170.18,L
76,28,177.8,XL
61,46,165.1,M
65,38,162.56,L
58,27,157.48,M
68,34,162.56,L
49,24,167.64,S
76,32,180.34,XL
78,33,177.8,XL
55,24,170.18,M
59,34,162.56,M
61,30,157.48,L
69,32,170.18,L
56,33,162.56,M
57,26,162.56,M
53,53,160.02,M
70,37,167.64,L
61,25,160.02,M
54,25,160.02,M
70,36,165.1,XL
52,33,157.48,M
58,38,167.64,M
69,35,170.18,L
61,31,172.72,M
63,35,160.02,XL
69,30,165.1,L
69,48,170.18,XL
69,30,170.18,XL
71,29,172.72,L
65,29,165.1,M
68,31,165.1,XL
78,31,177.8,XL
69,28,167.64,L
56,29,172.72,M
52,28,162.56,S
61,33,165.1,M
80,23,185.42,XL
47,40,152.4,S
70,29,167.64,L
71,37,170.18,XL
55,29,154.94,M
58,37,170.18,M
58,30,160.02,M
61,30,170.18,M
55,33,167.64,M
52,35,167.64,S
58,30,165.1,M
68,27,167.64,XL
53,37,157.48,S
57,37,160.02,M
65,32,162.4,XL
77,30,167.48,XL
54,25,162.56,M
79,28,172.72,XL
61,30,175.26,M
52,44,167.64,S
73,53,177.8,XL
73,47,170.18,XL
61,34,175.26,M
58,31,170.18,M
56,35,165.1,M
65,27,167.64,M
54,20,167.8,S
55,40,165.1,M
73,24,167.48,XL
61,33,160.02,M
61,43,170.18,M
68,49,162.56,XL
50,57,162.56,S
72,28,175.26,XL
71,31,175.26,L
73,31,175.26,XL
56,25,154.94,M
54,38,164.94,S
77,29,167.48,XL
63,36,170.18,M
68,32,172.72,L
59,33,167.64,M
74,31,162.56,XL
68,42,165.1,XL
58,30,167.64,M
54,35,157.48,M
53,27,164.94,S
63,29,160.02,XL
52,37,162.4,S
72,28,160.02,XL
56,26,167.64,M
53,34,162.56,M
61,34,157.48,L
56,55,167.64,M
77,31,170.18,XL
61,30,160.02,M
68,34,167.64,L
58,32,167.64,M
71,26,170.18,XL
76,31,170.18,XL
49,33,152.4,S
73,44,167.64,XL
63,29,172.72,M
56,35,167.64,M
55,38,170.18,M
52,33,157.48,M
71,34,167.48,XL
56,31,160.02,M
56,32,160.02,M
80,32,177.8,XL
64,28,167.64,L
72,32,172.72,XL
74,28,172.72,L
61,42,165.1,M
70,31,165.1,XL
58,26,157.48,M
72,36,167.64,XL
52,28,170.18,S
66,37,160.02,L
54,22,165.1,S
72,30,162.56,XL
71,30,165.1,L
50,31,154.94,S
60,62,157.48,L
63,29,157.48,L
58,46,175.26,M
54,23,157.48,M
49,24,160.02,S
51,29,157.48,S
71,33,167.64,L
52,38,162.4,S
61,32,157.32,L
64,40,162.56,XL
54,33,167.64,M
54,37,167.48,S
73,28,172.72,XL
67,27,162.56,L
77,35,162.4,XL
57,53,170.18,M
51,28,154.94,S
48,43,157.48,S
64,31,167.64,L
61,34,160.02,M
59,32,170.18,M
58,33,165.1,M
56,70,170.18,M
68,26,165.1,L
54,30,170.18,S
46,19,160.02,S
58,39,162.56,M
75,24,167.64,XL
54,40,162.56,S
49,61,157.48,S
71,35,165.1,L
61,42,177.8,M
68,49,170.18,L
58,28,165.1,M
52,29,170.18,S
61,31,167.64,M
54,40,162.56,S
58,33,170.18,M
67,32,170.18,L
69,33,175.26,L
65,27,160.02,XL
54,28,170.18,S
61,30,165.1,M
65,38,162.56,XL
69,29,162.56,L
55,26,170.18,M
64,33,167.64,L
61,33,160.02,M
58,25,165.1,M
54,31,162.56,M
49,32,157.48,S
61,39,165.1,M
65,30,160.02,XL
57,25,154.94,M
63,45,157.48,L
54,28,160.02,M
58,32,165.1,M
57,33,172.72,M
68,40,170.18,L
73,28,177.8,XL
61,30,167.64,M
72,38,172.72,XL
70,25,172.72,L
82,29,177.8,XL
65,27,175.26,M
54,23,170.18,S
54,29,160.02,S
67,33,165.1,XL
54,16,170.18,S
58,32,165.1,M
56,30,167.64,M
62,34,165.1,M
51,34,159.48,M
45,33,172.72,S
58,38,167.64,M
53,37,172.72,S
73,48,170.18,XL
54,31,160.02,S
59,30,160.02,M
73,41,172.72,XL
71,29,175.26,L
67,50,160.02,L
53,30,162.4,S
61,42,170.18,M
63,30,162.56,M
47,20,157.48,S
62,32,170.18,M
65,24,170.18,M
56,36,162.56,M
58,26,167.64,M
58,33,165.1,M
58,27,160.02,M
82,37,177.8,XL
74,32,165.1,XL
47,28,167.64,S
56,28,162.56,M
50,25,165.1,S
69,33,165.1,XL
65,27,157.48,L
68,50,160.02,XL
66,45,172.72,XL
68,50,170.18,L
58,32,165.1,M
61,37,165.1,M
57,33,167.64,M
47,43,157.48,S
67,27,167.64,L
53,37,170.18,S
69,26,165.1,L
54,33,162.56,S
61,25,165.1,M
58,51,167.64,M
72,31,165.1,XL
56,44,162.56,M
61,30,172.72,M
70,53,170.18,XL
75,30,167.64,XL
53,36,167.64,S
70,32,172.72,L
63,25,162.56,M
63,33,177.8,M
58,36,170.18,M
67,33,162.56,L
61,33,157.48,L
61,46,162.56,M
76,26,175.26,XL
70,31,170.18,XL
54,22,167.64,M
56,32,157.48,M
58,42,162.56,M
47,42,157.48,S
69,41,165.1,L
54,22,165.1,S
62,36,165.1,M
53,41,157.48,M
74,26,170.18,L
55,30,167.64,M
58,57,152.4,L
71,33,170.18,L
76,46,177.8,XL
56,39,170.18,M
61,42,160.02,M
49,32,157.48,S
57,36,162.56,M
60,22,172.72,M
67,36,164.94,XL
68,35,162.56,XL
61,28,167.64,M
56,36,165.1,M
54,37,165.1,S
54,36,160.02,S
68,24,165.1,L
46,48,152.4,S
54,47,175.26,S
49,29,162.56,S
59,35,175.26,M
50,37,154.94,M
71,26,167.48,XL
65,39,162.56,XL
54,50,165.1,M
54,58,162.56,M
63,33,157.48,L
68,27,165.1,XL
63,46,159.86,L
53,57,162.4,S
61,31,160.02,M
56,27,170.18,M
76,48,180.34,XL
53,31,167.8,S
56,36,170.18,M
54,28,162.56,S
71,35,172.72,XL
58,34,165.1,M
61,23,165.1,M
73,27,175.26,XL
56,47,160.02,M
57,32,167.64,M
68,37,165.1,XL
56,38,160.02,M
68,32,165.1,XL
56,35,160.02,M
53,27,160.02,M
57,34,167.64,M
52,29,170.18,S
63,27,170.18,M
72,32,167.64,XL
71,27,177.8,L
58,26,162.56,M
58,33,165.1,M
56,31,160.02,M
56,29,170.18,M
67,42,160.02,L
54,29,167.48,S
71,30,170.18,XL
57,30,160.02,M
56,38,165.1,M
50,42,152.4,M
67,34,175.26,L
54,31,157.48,M
58,40,167.64,M
58,31,170.18,M
53,41,167.64,S
63,21,160.02,L
54,25,159.86,S
53,36,162.4,S
71,37,172.72,L
52,37,157.48,M
56,30,165.1,M
63,26,157.48,L
72,27,172.72,XL
69,27,172.72,L
63,30,165.1,M
56,32,157.48,M
54,31,162.56,S
58,40,162.56,M
51,32,167.64,S
56,41,162.56,M
69,28,165.1,L
69,27,167.64,L
74,30,167.64,XL
53,34,157.48,S
64,25,162.56,XL
63,21,167.64,M
71,29,167.64,L
58,34,160.02,M
69,32,175.26,L
61,32,162.56,M
52,31,152.4,M
55,29,154.94,M
76,59,177.8,XL
58,54,162.56,M
53,36,157.48,S
54,29,160.02,S
53,33,162.56,S
67,52,172.72,XL
56,38,154.94,M
76,37,175.26,XL
67,35,170.18,L
58,29,162.56,M
67,42,162.56,L
68,43,170.18,XL
54,28,167.64,S
80,57,177.8,XL
74,33,172.72,L
73,26,172.72,XL
76,34,170.18,XL
56,32,160.02,M
58,37,162.56,M
80,31,180.34,XL
56,34,165.1,M
55,33,167.64,M
58,41,157.48,M
73,44,167.64,XL
61,30,172.72,M
63,30,170.34,M
76,33,175.26,L
53,37,157.48,M
67,33,177.8,L
58,32,167.64,M
59,32,160.02,M
68,31,167.64,XL
69,25,177.8,L
56,27,172.72,M
68,35,165.1,XL
65,38,167.64,L
70,26,170.18,XL
58,31,162.56,M
49,31,157.48,S
61,35,177.8,M
56,35,170.18,M
56,32,165.1,M
62,30,177.8,L
68,48,167.64,L
56,51,165.1,M
78,31,180.34,XL
68,38,170.18,L
54,32,162.56,S
65,29,162.56,L
61,29,167.64,M
68,33,172.72,L
69,29,162.56,L
57,34,162.56,M
54,34,162.56,S
76,28,177.8,L
55,33,162.56,M
71,49,165.1,L
69,32,162.56,L
50,22,162.56,S
59,31,165.1,M
65,34,162.56,L
57,49,165.1,M
58,37,165.1,M
48,33,162.56,S
59,29,162.56,M
61,32,170.18,M
69,34,172.72,L
66,32,172.72,L
71,33,172.72,XL
54,33,170.18,S
69,49,170.18,L
74,28,167.64,XL
47,43,157.48,S
49,34,160.02,S
65,31,160.02,L
75,31,167.64,XL
67,34,167.64,L
69,29,172.72,L
73,24,167.64,XL
56,28,160.02,M
59,30,167.64,M
56,33,160.02,M
61,36,175.26,M
64,27,160.02,XL
62,48,165.1,M
60,29,165.1,M
58,26,162.56,M
55,28,157.48,M
68,26,162.56,XL
50,39,156.94,M
61,29,162.56,M
50,26,157.48,S
54,39,162.56,M
69,35,167.48,XL
49,29,157.48,S
64,31,175.26,XL
73,30,177.8,XL
69,47,172.72,L
63,24,162.56,M
67,40,162.56,L
54,51,167.64,S
63,27,160.02,L
69,48,170.18,XL
49,42,162.56,S
69,33,170.18,L
58,31,162.56,M
74,32,172.72,XL
57,29,157.48,M
73,27,167.64,XL
58,30,167.64,M
55,28,152.4,M
65,32,175.26,M
71,29,170.18,XL
54,20,162.56,M
71,37,175.26,L
61,26,170.18,M
53,48,162.56,M
78,32,175.26,L
58,45,172.72,M
66,63,170.18,XL
69,55,167.64,L
68,27,162.56,XL
72,39,167.64,XL
65,32,162.56,XL
58,26,162.56,M
68,47,170.18,L
58,32,165.1,M
63,35,172.72,M
63,29,160.02,L
49,36,152.4,S
63,31,175.26,M
74,33,172.72,L
61,25,167.64,M
76,24,170.18,XL
56,36,165.1,M
58,30,162.56,M
52,28,157.48,S
61,46,177.8,M
54,36,175.26,S
63,40,165.1,M
60,28,160.02,M
58,30,154.94,L
52,32,157.48,S
82,29,177.8,XL
70,31,167.64,XL
58,36,167.64,M
76,36,177.8,XL
70,34,170.18,XL
54,37,157.48,M
61,31,165.1,M
74,34,170.18,L
64,26,172.72,L
72,44,170.18,XL
58,27,160.02,M
68,28,162.56,L
80,21,175.26,XL
58,25,160.02,M
65,29,172.72,M
58,27,165.1,M
56,31,160.02,M
61,56,170.18,M
63,26,160.02,XL
53,26,167.64,M
72,31,165.1,XL
65,29,170.18,M
61,30,160.02,M
71,40,175.26,XL
57,43,175.26,M
61,37,170.18,M
67,31,170.18,L
69,33,172.72,L
54,30,160.02,S
52,39,152.4,M
63,28,160.02,L
56,37,162.56,M
57,26,154.94,M
72,24,170.18,XL
67,34,160.02,L
75,29,175.26,L
59,36,167.64,M
46,43,157.48,S
69,27,165.1,L
50,28,162.56,M
52,31,157.48,S
69,21,170.18,XL
67,21,160.02,L
65,31,162.56,XL
52,38,154.94,M
64,51,167.64,L
52,34,157.48,S
63,35,160.02,L
63,30,170.34,M
58,55,162.56,M
58,38,167.64,M
58,20,167.64,M
60,31,160.02,M
80,16,177.8,XL
58,23,175.26,M
65,27,172.72,M
58,31,165.1,M
47,36,160.02,S
78,37,172.72,XL
54,27,160.02,M
54,24,165.1,M
62,27,157.48,L
64,33,175.26,L
56,38,157.48,M
69,20,167.64,L
68,34,160.02,XL
70,36,170.18,XL
58,43,157.48,M
69,46,175.26,XL
78,28,172.72,XL
62,37,170.18,L
71,26,167.64,L
51,38,162.56,S
80,37,175.26,XL
71,36,170.18,XL
77,32,170.18,XL
54,28,167.48,S
53,20,162.8,S
57,37,172.72,M
66,26,172.72,XL
61,24,162.56,M
56,35,162.56,M
63,32,170.18,M
65,43,162.56,XL
53,48,162.56,S
63,27,175.26,M
54,52,160.02,S
51,35,156.94,M
49,35,157.48,S
56,40,165.1,M
68,32,160.02,XL
58,29,167.64,M
70,45,167.64,XL
56,34,160.02,M
54,41,162.56,M
65,46,167.64,L
69,28,170.18,L
61,32,157.48,L
74,32,177.8,L
76,27,175.26,XL
63,30,170.18,M
69,23,177.8,L
76,43,175.26,XL
52,45,157.48,M
71,25,170.18,L
69,30,170.18,L
58,42,165.1,M
73,31,170.18,L
51,43,164.56,M
69,33,164.94,XL
71,26,177.8,L
67,38,160.02,L
56,28,170.18,M
60,41,160.02,M
54,25,167.48,S
54,39,162.8,S
54,30,165.1,S
76,46,170.18,XL
69,39,162.4,XL
52,30,162.56,S
62,30,167.64,M
63,28,167.64,M
51,41,160.02,S
52,29,170.18,S
74,30,177.8,L
67,49,175.26,L
62,25,167.64,M
54,32,162.56,M
53,38,175.26,S
46,28,165.1,S
54,29,162.4,S
74,34,170.18,L
80,30,177.8,XL
68,39,165.1,L
73,46,167.64,XL
69,49,170.18,L
77,26,175.26,XL
65,31,162.56,XL
71,28,165.1,L
65,33,160.02,XL
51,43,162.56,S
44,32,162.56,S
58,30,172.72,M
58,38,157.48,M
58,31,170.18,M
53,34,170.18,S
54,33,154.94,M
67,39,167.64,L
54,33,167.48,S
63,31,170.18,M
65,31,162.56,L
69,30,167.64,L
56,32,157.48,M
56,28,167.64,M
58,24,175.26,M
75,45,172.72,XL
68,50,170.18,L
62,34,165.1,M
71,29,167.64,L
74,31,170.18,L
62,28,170.18,L
46,40,157.48,S
64,35,167.64,L
58,25,165.1,M
53,29,162.56,M
58,29,162.56,M
73,30,167.64,XL
58,23,162.56,M
82,35,177.8,XL
58,17,170.18,M
47,32,154.94,S
71,32,172.72,XL
50,36,147.32,M
56,44,160.02,M
47,27,157.48,S
63,26,160.02,XL
50,23,157.48,M
63,27,170.18,M
57,45,172.72,M
75,31,167.64,XL
71,20,167.48,XL
55,34,167.64,M
58,28,167.64,M
68,32,167.64,XL
56,56,165.1,M
58,31,167.64,M
53,46,157.48,M
78,31,175.26,XL
61,33,160.02,M
73,33,170.18,XL
49,29,157.48,S
54,45,152.4,M
59,29,165.1,M
61,34,160.02,M
64,27,162.56,L
76,30,180.34,XL
55,34,165.34,S
54,35,167.48,S
58,40,162.56,M
61,29,165.1,M
61,28,162.56,M
69,29,165.1,XL
54,31,160.02,S
61,32,170.18,M
63,32,167.64,M
56,27,170.18,M
54,24,167.64,S
71,32,172.72,XL
65,31,160.02,XL
56,32,172.72,M
57,34,162.56,M
66,26,170.18,XL
59,40,165.1,M
54,44,170.18,S
76,37,175.26,XL
54,42,160.02,M
56,55,165.1,M
55,27,157.48,M
54,37,165.1,S
66,27,157.48,L
77,32,167.64,XL
71,32,167.64,XL
62,52,177.8,M
63,31,172.72,M
69,51,167.48,XL
51,60,162.4,S
74,34,175.26,XL
74,30,172.72,XL
53,33,165.1,S
68,29,162.56,L
51,25,162.56,S
52,35,167.64,S
54,34,154.94,M
63,26,167.64,M
69,25,165.1,L
71,30,172.72,L
61,39,175.26,M
51,20,159.48,M
63,34,172.72,M
56,28,154.94,M
73,32,172.72,XL
73,38,167.48,XL
64,42,172.72,L
69,48,175.26,L
61,33,170.18,M
75,42,162.4,XL
74,29,162.56,XL
52,33,160.02,S
62,34,167.64,L
56,44,162.56,M
61,41,172.72,M
59,31,167.64,M
71,33,175.26,XL
58,41,172.72,M
80,31,177.8,XL
59,31,175.26,M
58,47,167.64,M
54,28,160.02,S
69,31,167.64,L
74,37,170.18,L
58,31,165.1,M
56,41,162.56,M
79,29,159.86,XL
67,33,160.02,L
56,44,162.56,M
74,29,162.56,XL
62,56,167.64,L
54,31,170.18,S
77,34,167.48,XL
55,25,160.02,M
54,44,162.56,M
77,29,164.94,XL
63,32,167.64,M
54,34,162.56,S
70,44,170.18,XL
71,27,172.72,L
57,35,162.56,M
56,31,160.02,M
71,30,167.64,L
54,43,170.18,S
69,38,180.34,XL
63,33,172.72,M
56,43,170.18,M
53,33,172.72,S
50,40,160.02,S
53,29,157.48,S
60,36,167.64,M
67,30,170.18,L
45,31,162.56,S
69,27,175.26,L
56,31,160.02,M
74,27,177.8,L
54,26,162.56,S
74,28,170.18,L
52,37,157.48,M
56,33,165.1,M
68,51,157.48,L
72,32,167.64,XL
73,46,172.72,XL
66,37,167.64,L
65,39,167.64,L
56,29,162.56,M
66,32,177.8,XL
61,38,157.48,L
61,27,167.64,M
68,30,162.56,XL
54,34,170.18,S
62,31,170.18,L
63,33,172.72,M
68,40,170.18,L
60,45,172.72,M
72,33,165.1,XL
65,34,172.72,M
58,37,162.56,M
59,34,157.48,M
52,23,160.02,S
75,46,167.64,XL
52,44,160.02,S
54,26,165.1,S
54,28,165.1,S
58,31,167.64,M
64,38,167.64,L
63,41,154.94,L
65,38,165.1,M
68,40,160.02,XL
58,21,170.18,M
61,29,162.56,M
70,36,170.18,XL
56,41,162.56,M
71,30,167.48,XL
71,40,170.18,XL
48,43,165.1,S
56,30,157.48,M
63,28,172.72,M
68,29,162.56,L
56,48,165.1,M
65,29,162.56,XL
61,28,177.8,M
53,23,157.48,S
71,25,167.64,L
54,25,160.02,S
67,33,177.8,L
47,27,157.48,S
65,29,167.64,M
68,28,160.02,XL
56,31,162.56,M
54,35,154.94,M
54,27,175.26,S
70,40,170.18,XL
74,21,177.8,L
64,32,167.64,L
63,30,165.1,M
70,28,170.18,L
63,29,162.56,M
50,32,154.94,S
63,21,167.64,L
71,35,165.1,L
54,33,162.56,S
56,44,165.1,M
54,35,154.94,M
65,33,170.18,M
61,27,172.72,M
56,27,157.48,M
49,30,167.64,S
63,32,175.26,M
76,30,170.18,XL
64,30,170.18,L
54,33,167.48,S
69,58,177.8,L
56,21,167.64,M
64,37,170.18,M
72,31,167.64,XL
58,35,162.56,M
54,28,165.1,S
69,49,165.1,L
62,33,172.72,M
58,50,170.18,M
70,42,177.8,XL
56,30,165.1,M
