订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD201708167493191657093188074,E43A6E078A04228,8.5,8.5,225g味之不规则饼干芝士味,2017/6/1 4:54,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493191676243892192,E43A6E078A04228,0.6,0.6,20g马来西亚风味咪咪蟹味粒0219,2017/6/1 7:04,C,已出货未退款,已提现,非饮料,膨化食品
DD201708167493191727180712852,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/6/1 7:12,B,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD20170816749319183210307328,E43A6E078A04172,3,3,12g劲仔小鱼麻辣味,2017/6/1 7:27,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493191887157542562,E43A6E078A04172,2.5,2.5,145ml旺仔牛奶盒装,2017/6/1 7:31,A,已出货未退款,已提现,饮料,乳制品
DD201708167493191928163286695,E43A6E078A04228,4.5,4.5,65g卫龙亲嘴豆皮,2017/6/1 7:40,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD2017072212420876B583EA5439F,E43A6E078A04228,2,2,怡宝纯净水,2017/6/1 7:41,C,已出货未退款,已提现,饮料,水
DD201708167493994581265868143,E43A6E078A06874,4,4,银鹭八宝粥,2017/6/1 7:41,E,已出货未退款,已提现,饮料,方便速食
DD201708167493192029562760136,E43A6E078A07631,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/6/1 7:47,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493380982933217735,E43A6E078A04228,3,3,58g丽芝士纳宝帝奶酪威化饼干,2017/6/1 7:48,C,已出货未退款,已提现,非饮料,饼干糕点
DD20170722125141750DB38AF4E5A,E43A6E078A04228,4,4,阿萨姆煎茶奶绿,2017/6/1 7:48,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493192136922303924,E43A6E078A04134,6,6,268ml雀巢咖啡丝滑拿铁,2017/6/1 7:50,B,已出货未退款,已提现,饮料,咖啡
DD201708167493192171667489338,E43A6E078A04172,0.8,0.8,咪咪虾条马来西亚风味,2017/6/1 7:54,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493192251286374017,E43A6E078A04228,3,3,250ml维他柠檬茶,2017/6/1 7:55,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493192255697003139,E43A6E078A07631,6.5,6.5,250ml红牛,2017/6/1 7:57,D,已出货未退款,已提现,饮料,功能饮料
DD2017071510581513DDBE9380759,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 7:59,E,已出货未退款,已提现,饮料,水
DD201708167493192266490547891,E43A6E078A04228,4,4,日式鱼果,2017/6/1 8:00,C,已出货未退款,已提现,非饮料,膨化食品
DD201708167493192378177348243,E43A6E078A04172,7,7,优益C活菌型乳酸菌饮品,2017/6/1 8:10,A,已出货未退款,已提现,饮料,乳制品
DD201708167493192426909836308,E43A6E078A04172,5,5,500ml统一阿萨姆奶茶,2017/6/1 8:14,A,已出货未退款,已提现,饮料,茶饮料
DD20170816749319242969982895,E43A6E078A04172,5.5,5.5,205g伊利安慕希原味,2017/6/1 8:15,A,已出货未退款,已提现,饮料,乳制品
DD201708167493192456688699027,E43A6E078A04134,1.8,1.8,600ml雪碧,2017/6/1 8:16,B,已出货未退款,已提现,饮料,碳酸饮料
DD2017072213191776C74E5CD4857,E43A6E078A04228,4,4,营养快线,2017/6/1 8:34,C,已出货未退款,已提现,饮料,乳制品
DD201708167493994625058442034,E43A6E078A06874,4,4,银鹭八宝粥,2017/6/1 8:34,E,已出货未退款,已提现,饮料,方便速食
DD201708167493192461491743234,E43A6E078A04134,3.5,3.5,70g乖媳妇野山泡椒凤爪,2017/6/1 8:35,B,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493192466881398204,E43A6E078A07631,12,12,330ml伊利畅意乳酸菌原味,2017/6/1 8:37,D,已出货未退款,已提现,饮料,乳制品
DD201708167493192500764409941,E43A6E078A04172,4.5,4.5,40g上好佳日式鱼果,2017/6/1 8:44,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493192532596348153,E43A6E078A04172,1.5,1.5,40g双汇玉米热狗肠,2017/6/1 8:46,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493192588992203215,E43A6E078A04228,6.5,6.5,148g富甲一方紫薯仔,2017/6/1 8:49,C,已出货未退款,已提现,非饮料,蜜饯/果干
DD201708167493192662953196335,E43A6E078A04228,3.6,3.6,32g卫龙亲嘴烧,2017/6/1 8:53,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493192672614367564,E43A6E078A04134,7,7,80g马赛克香蕉片,2017/6/1 8:54,B,已出货未退款,已提现,非饮料,蜜饯/果干
DD2017051813280184A7406507A47,E43A6E078A04134,2,2,怡宝纯净水,2017/6/1 9:05,B,已出货未退款,已提现,饮料,水
DD20170803202149758B415E86431,E43A6E078A04228,3.5,3.5,可口可乐330ml,2017/6/1 9:05,C,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493994632083852366,E43A6E078A06874,1.5,1.5,香豆干,2017/6/1 9:05,E,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD20170816749319271841355944,E43A6E078A04172,3,3,45g双汇泡面拍挡,2017/6/1 9:07,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493616416039680268,E43A6E078A04228,10,10,37.5g费列罗榛果威化巧克力3颗,2017/6/1 9:10,C,已出货未退款,已提现,非饮料,糖果/巧克力
DD201708167493192743919560037,E43A6E078A07631,2.5,2.5,30g无穷农场盐_鸡蛋,2017/6/1 9:11,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD2017051323032566AC9CC32CEA3,E43A6E078A04172,2.5,2.5,可口可乐330ml（罐）,2017/6/1 9:12,A,已出货未退款,已提现,饮料,碳酸饮料
DD201708071329579322DAECAF29B,E43A6E078A04134,4,4,统一冰红茶,2017/6/1 9:12,B,已出货未退款,已提现,饮料,茶饮料
DD201708167493994638816171162,E43A6E078A07631,3,3,维他奶,2017/6/1 9:12,D,已出货未退款,已提现,饮料,植物蛋白
DD201708167493192749646827013,E43A6E078A04228,1.5,1.5,12g劲仔小鱼麻辣味,2017/6/1 9:13,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493994824573790936,E43A6E078A04172,1.3,1.3,手撕素肉排,2017/6/1 9:15,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201707221320044168D396FF5CE,E43A6E078A04228,1.5,1.5,鸭翅,2017/6/1 9:15,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493192775615307462,E43A6E078A04134,1.8,1.8,600ml雪碧,2017/6/1 9:16,B,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493192813766290188,E43A6E078A04134,4,4,145ml旺仔牛奶盒装,2017/6/1 9:17,B,已出货未退款,已提现,饮料,乳制品
DD201708167493994868802812964,E43A6E078A04228,4,4,阿萨姆奶茶,2017/6/1 9:18,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493288770571129275,E43A6E078A06874,6.5,6.5,430g泰奇八宝粥,2017/6/1 9:18,E,已出货未退款,已提现,非饮料,方便速食
DD2017071511363052E9EE386E44E,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 9:18,E,已出货未退款,已提现,饮料,水
DD201708167493192826647430553,E43A6E078A07631,6.5,6.5,250ml红牛,2017/6/1 9:19,D,已出货未退款,已提现,饮料,功能饮料
DD201708167493192829740725471,E43A6E078A04172,6.5,6.5,430g泰奇八宝粥,2017/6/1 9:34,A,已出货未退款,已提现,非饮料,方便速食
DD201708167493192936599155438,E43A6E078A04228,15,15,500ml统一阿萨姆奶茶,2017/6/1 9:35,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493994887809357158,E43A6E078A04228,4,4,阿萨姆奶茶,2017/6/1 9:36,C,已出货未退款,已提现,饮料,茶饮料
DD201707151137157501197DCF6F6,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 9:36,E,已出货未退款,已提现,饮料,水
DD201708167493192960137890976,E43A6E078A04172,3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017/6/1 9:37,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493193035775979803,E43A6E078A04228,8,8,68g多力多玉米片爆香热辣味,2017/6/1 9:39,C,已出货未退款,已提现,非饮料,膨化食品
DD201708167493193076249408476,E43A6E078A04172,6,6,86g合味道海鲜风味,2017/6/1 9:40,A,已出货未退款,已提现,非饮料,方便速食
DD201708167493465855274766804,E43A6E078A04228,12.5,12.5,100g*5瓶益力多,2017/6/1 9:41,C,已出货未退款,已提现,饮料,乳制品
DD20170513224937574B32E91DE6B,E43A6E078A04228,1,1,香豆干,2017/6/1 9:41,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708022249401487C02670FDD,E43A6E078A07631,3.5,3.5,东鹏特饮,2017/6/1 9:41,D,已出货未退款,已提现,饮料,功能饮料
DD201708167493193377555466154,E43A6E078A04228,3,3,58g丽芝士纳宝帝奶酪威化饼干,2017/6/1 9:43,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493193385903924444,E43A6E078A04172,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/6/1 9:44,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493381325348715914,E43A6E078A06874,6.5,6.5,250ml红牛,2017/6/1 9:45,E,已出货未退款,已提现,饮料,功能饮料
DD2017071511431512F84526E7E6D,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 9:45,E,已出货未退款,已提现,饮料,水
DD201708167493193428095561232,E43A6E078A04172,4,4,450ml美汁源果粒橙,2017/6/1 9:46,A,已出货未退款,已提现,饮料,果蔬饮料
DD201708167493193459377997727,E43A6E078A06874,7,7,70g乖媳妇野山泡椒凤爪,2017/6/1 9:47,E,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493994899880922414,E43A6E078A04134,4,4,银鹭八宝粥,2017/6/1 9:53,B,已出货未退款,已提现,饮料,方便速食
DD2017071511451775EDCDF443EAE,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 9:53,E,已出货未退款,已提现,饮料,水
DD201708167493193469940249848,E43A6E078A06874,3.5,3.5,维他奶（巧克力味）,2017/6/1 9:54,E,已出货未退款,已提现,饮料,植物蛋白
DD201708167493193489404346762,E43A6E078A04134,5.5,5.5,330ml伊利畅意乳酸菌原味,2017/6/1 10:00,B,已出货未退款,已提现,饮料,乳制品
DD201708167493193510821494851,E43A6E078A04134,4.5,4.5,500ml加多宝,2017/6/1 10:06,B,已出货未退款,已提现,饮料,茶饮料
DD201708167493193576174760028,E43A6E078A04228,4,4,20g咪咪虾条马来西亚风味,2017/6/1 10:09,C,已出货未退款,已提现,非饮料,膨化食品
DD201708167493193632577688809,E43A6E078A07631,3.2,3.2,20g咪咪虾条马来西亚风味,2017/6/1 10:12,D,已出货未退款,已提现,非饮料,膨化食品
DD201708167493193688618795275,E43A6E078A06874,2.5,2.5,30g无穷农场盐_鸡蛋,2017/6/1 10:13,E,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493193709953228319,E43A6E078A04172,2.5,2.5,无穷农场盐_鸡蛋,2017/6/1 10:33,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493193800745405881,E43A6E078A04228,3.5,3.5,600ml可口可乐,2017/6/1 10:36,C,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493193802772824475,E43A6E078A04172,3,3,卫龙亲嘴烧红烧牛肉味,2017/6/1 10:37,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493193872764677823,E43A6E078A07631,2.5,2.5,30g无穷农场盐_鸡蛋,2017/6/1 10:58,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493194056578245172,E43A6E078A04228,3,3,250ml维他柠檬茶,2017/6/1 11:21,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493994912706827503,E43A6E078A04134,4,4,银鹭八宝粥,2017/6/1 11:33,B,已出货未退款,已提现,饮料,方便速食
DD2017071512183193445DF079D93,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 11:33,E,已出货未退款,已提现,饮料,水
DD201708167493194243188651232,E43A6E078A06874,4.5,4.5,12g劲仔小鱼麻辣味,2017/6/1 11:41,E,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD20170816749319428346951232,E43A6E078A04228,3.5,3.5,维他柠檬茶,2017/6/1 11:43,C,已出货未退款,已提现,饮料,茶饮料
DD201708167493194305362668115,E43A6E078A06874,6,6,86g合味道浓猪骨味,2017/6/1 11:44,E,已出货未退款,已提现,非饮料,方便速食
DD201708167493194345676474784,E43A6E078A07631,8,8,150g健能酸奶原味,2017/6/1 11:50,D,已出货未退款,已提现,饮料,乳制品
DD201708167493194368709491693,E43A6E078A04172,2.5,2.5,无穷农场盐_鸡蛋,2017/6/1 11:51,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493194372661726526,E43A6E078A04228,6.5,6.5,250ml红牛,2017/6/1 11:53,C,已出货未退款,已提现,饮料,功能饮料
DD201708167493194534485444445,E43A6E078A04134,2,2,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/6/1 11:59,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493381537961735422,E43A6E078A06874,6.5,6.5,250ml红牛,2017/6/1 12:00,E,已出货未退款,已提现,饮料,功能饮料
DD2017071513241947C5E9344EADB,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:00,E,已出货未退款,已提现,饮料,水
DD201708167493194639104345487,E43A6E078A04172,4,4,20g咪咪虾条马来西亚风味,2017/6/1 12:01,A,已出货未退款,已提现,非饮料,膨化食品
DD201708167493994922742603692,E43A6E078A04134,4,4,阿萨姆奶茶,2017/6/1 12:02,B,已出货未退款,已提现,饮料,茶饮料
DD2017071513260288C2648CFBB6F,E43A6E078A06874,3,3,伊利优酸乳,2017/6/1 12:02,E,已出货未退款,已提现,饮料,乳制品
DD201708167493332338350674281,E43A6E078A06874,6.5,6.5,430g泰奇八宝粥,2017/6/1 12:04,E,已出货未退款,已提现,非饮料,方便速食
DD20170715132658297169F383118,E43A6E078A06874,3,3,伊利优酸乳,2017/6/1 12:04,E,已出货未退款,已提现,饮料,乳制品
DD201708167493994938614345681,E43A6E078A04228,4,4,银鹭八宝粥,2017/6/1 12:05,C,已出货未退款,已提现,饮料,方便速食
DD2017071513324588F6F516FEC17,E43A6E078A06874,3,3,芬达330ml,2017/6/1 12:05,E,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493994945985902364,E43A6E078A07631,3,3,维他奶,2017/6/1 12:06,D,已出货未退款,已提现,饮料,植物蛋白
DD2017071513332384F4309289698,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:06,E,已出货未退款,已提现,饮料,水
DD201708167493194676405589694,E43A6E078A06874,10,10,37.5g费列罗榛果威化巧克力3颗,2017/6/1 12:09,E,已出货未退款,已提现,非饮料,糖果/巧克力
DD201708167493994966868120744,E43A6E078A04172,2.5,2.5,伊利优酸乳,2017/6/1 12:10,A,已出货未退款,已提现,饮料,乳制品
DD20170715140543954CB40816F46,E43A6E078A06874,3,3,可口可乐最新款,2017/6/1 12:10,E,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493994968331744455,E43A6E078A04134,4,4,营养快线,2017/6/1 12:11,B,已出货未退款,已提现,饮料,乳制品
DD201707151505526269E3300BB84,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:11,E,已出货未退款,已提现,饮料,水
DD201708167493994983727557477,E43A6E078A04134,1.2,1.2,康师傅矿泉水,2017/6/1 12:14,B,已出货未退款,已提现,饮料,水
DD2017071515491273E1DA0C407B1,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:14,E,已出货未退款,已提现,饮料,水
DD201708167493194677240196543,E43A6E078A04228,3,3,250ml维他原味豆奶,2017/6/1 12:15,C,已出货未退款,已提现,饮料,植物蛋白
DD201708167493381695828932111,E43A6E078A06874,6,6,86g合味道海鲜风味,2017/6/1 12:16,E,已出货未退款,已提现,非饮料,方便速食
DD201707151642252423F4D414E2D,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:16,E,已出货未退款,已提现,饮料,水
DD201708167493194865227133817,E43A6E078A04134,5,5,500ml统一阿萨姆奶茶,2017/6/1 12:17,B,已出货未退款,已提现,饮料,茶饮料
DD201708167493194889499036163,E43A6E078A04134,2,2,85g新麦潮北海道吐司,2017/6/1 12:18,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493995017801540987,E43A6E078A04228,4,4,阿萨姆奶茶,2017/6/1 12:19,C,已出货未退款,已提现,饮料,茶饮料
DD2017071517340488DB46193897F,E43A6E078A06874,3,3,可口可乐最新款,2017/6/1 12:19,E,已出货未退款,已提现,饮料,碳酸饮料
DD201708167493194923817287009,E43A6E078A06874,2,2,145ml旺仔牛奶盒装,2017/6/1 12:20,E,已出货未退款,已提现,饮料,乳制品
DD201708167493194945136423225,E43A6E078A07631,4.5,4.5,40g乐事美国经典原味,2017/6/1 12:26,D,已出货未退款,已提现,非饮料,膨化食品
DD201708167493381738911457959,E43A6E078A06874,4.5,4.5,500ml加多宝,2017/6/1 12:27,E,已出货未退款,已提现,饮料,茶饮料
DD2017071517472227CAC14FB9D9D,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:27,E,已出货未退款,已提现,饮料,水
DD201708167493995059839594252,E43A6E078A04134,1.5,1.5,小鱼仔,2017/6/1 12:28,B,已出货未退款,已提现,非饮料,海味零食
DD201707151752441019D60504072,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:28,E,已出货未退款,已提现,饮料,水
DD201708167493195010842608269,E43A6E078A04134,4,4,150g健能酸奶原味,2017/6/1 12:36,B,已出货未退款,已提现,饮料,乳制品
DD201708167493195194507029588,E43A6E078A07631,6,6,250ml维他原味豆奶,2017/6/1 12:38,D,已出货未退款,已提现,饮料,植物蛋白
DD201708167493195352589722735,E43A6E078A07631,2.4,2.4,20g咪咪虾条马来西亚风味,2017/6/1 12:39,D,已出货未退款,已提现,非饮料,膨化食品
DD201708167493195385859057481,E43A6E078A06874,3.5,3.5,34g公仔迷你杯牛肉味,2017/6/1 12:40,E,已出货未退款,已提现,非饮料,方便速食
DD201708167493995137574606562,E43A6E078A04134,2.5,2.5,冰红茶（罐）,2017/6/1 12:57,B,已出货未退款,已提现,饮料,茶饮料
DD2017071518054687DEC7BC3287C,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:57,E,已出货未退款,已提现,饮料,水
DD201708167493195408045940419,E43A6E078A04228,2.5,2.5,30g无穷农场盐_鸡蛋,2017/6/1 12:58,C,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493344122980370815,E43A6E078A06874,6.5,6.5,430g泰奇八宝粥,2017/6/1 12:59,E,已出货未退款,已提现,非饮料,方便速食
DD20170715180659317F4078335CB,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 12:59,E,已出货未退款,已提现,饮料,水
DD20170816749319541889564029,E43A6E078A04228,8,8,80g四洲粟一烧烧烤味,2017/6/1 13:24,C,已出货未退款,已提现,非饮料,膨化食品
DD201708167493195493906094407,E43A6E078A07631,6,6,86g合味道海鲜风味,2017/6/1 13:25,D,已出货未退款,已提现,非饮料,方便速食
DD20170816749399536853672795,E43A6E078A04172,4,4,阿萨姆奶茶,2017/6/1 13:26,A,已出货未退款,已提现,饮料,茶饮料
DD2017071519112213349F0643BEE,E43A6E078A06874,3,3,怡宝纯净水,2017/6/1 13:26,E,已出货未退款,已提现,饮料,水
DD20170816749319549762189792,E43A6E078A07631,5,5,30g无穷农场盐_鸡蛋,2017/6/1 13:27,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493995373480392156,E43A6E078A04134,6,6,红牛,2017/6/1 13:29,B,已出货未退款,已提现,饮料,功能饮料
DD20170722154213342EA3AFF1F6B,E43A6E078A04228,2,2,怡宝纯净水,2017/6/1 13:29,C,已出货未退款,已提现,饮料,水
DD201708167493195526156637983,E43A6E078A06874,1.5,1.5,40g双汇玉米热狗肠,2017/6/1 13:35,E,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493195640479008004,E43A6E078A04134,1.5,1.5,2g韩国海牌海苔,2017/6/1 13:37,B,已出货未退款,已提现,非饮料,海味零食
DD201708167493195834059242423,E43A6E078A04172,8,8,160g盼盼手撕面包,2017/6/1 13:38,A,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749399540144233424,E43A6E078A04172,1.5,1.5,香脆肠,2017/6/1 13:39,A,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
